velocidad_balax,bala_h_x,velocidad_balay,bala_v_y,accion_horizontal,salto
-5,75,5,35,0,1
-5,70,5,40,0,1
-5,65,5,45,0,1
-5,60,5,50,0,1
-5,55,5,55,0,1
-5,50,5,60,0,1
-5,45,5,65,0,1
-5,40,5,70,0,1
-5,35,5,75,0,1
-5,30,5,80,0,1
-5,25,5,85,0,1
-5,20,5,90,0,1
-5,15,5,95,0,1
-5,10,5,100,0,1
-5,5,5,105,0,1
-5,0,5,110,0,1
-5,-5,5,115,0,1
-5,-10,5,120,0,1
-5,-15,5,125,0,1
-5,-20,5,130,0,1
-5,-25,5,135,0,1
-5,-30,5,140,0,1
-5,-35,5,145,0,1
-5,-40,5,150,0,1
-5,-45,5,155,0,1
-5,-50,5,160,0,1
-4,700,5,165,0,1
-4,696,5,170,0,1
-4,692,5,175,0,1
-4,688,5,180,0,1
-4,684,5,185,0,0
-4,680,5,190,0,0
-4,676,5,195,0,0
-4,672,5,200,0,0
-4,668,5,205,0,0
-4,664,5,210,0,0
-4,660,5,215,0,0
-4,656,5,220,0,0
-4,652,5,225,0,0
-4,648,5,230,0,0
-4,644,5,235,0,0
-4,640,5,240,0,0
-4,611,5,245,1,0
-4,607,5,250,1,0
-4,603,5,255,1,0
-4,599,5,260,1,0
-4,595,5,265,0,0
-4,591,5,270,0,0
-4,587,5,275,0,0
-4,583,5,280,0,0
-4,579,5,285,0,0
-4,575,5,290,0,0
-4,571,5,295,0,0
-4,567,5,300,0,0
-4,563,5,305,0,0
-4,559,5,310,0,0
-4,555,5,315,0,0
-4,551,5,320,0,0
-4,547,5,325,0,0
-4,543,5,330,0,0
-4,539,5,335,0,0
-4,535,5,340,0,0
-4,531,5,345,0,0
-4,527,5,350,0,0
-4,523,5,355,0,0
-4,519,5,360,0,0
-4,515,5,365,0,0
-4,511,5,370,0,0
-4,507,5,375,0,0
-4,503,5,380,0,0
-4,499,5,385,0,0
-4,495,5,390,0,0
-4,516,5,395,0,0
-4,512,5,400,0,0
-4,508,5,0,0,0
-4,504,5,5,0,0
-4,500,5,10,0,0
-4,496,5,15,0,0
-4,492,5,20,0,0
-4,488,5,25,0,0
-4,484,5,30,0,0
-4,480,5,35,0,0
-4,476,5,40,0,0
-4,472,5,45,0,0
-4,468,5,50,0,0
-4,464,5,55,0,0
-4,460,5,60,0,0
-4,456,5,65,0,0
-4,452,5,70,0,0
-4,448,5,75,0,0
-4,444,5,80,0,0
-4,440,5,85,0,0
-4,436,5,90,0,0
-4,432,5,95,0,0
-4,428,5,100,0,0
-4,424,5,105,0,0
-4,420,5,110,0,0
-4,416,5,115,0,0
-4,412,5,120,0,0
-4,408,5,125,0,0
-4,404,5,130,0,0
-4,400,5,135,0,0
-4,396,5,140,0,0
-4,392,5,145,0,0
-4,388,5,150,0,0
-4,384,5,155,0,0
-4,380,5,160,0,0
-4,376,5,165,0,0
-4,372,5,170,0,0
-4,368,5,175,0,0
-4,364,5,180,0,0
-4,360,5,185,0,0
-4,356,5,190,0,0
-4,352,5,195,0,0
-4,348,5,200,0,0
-4,344,5,205,0,0
-4,340,5,210,0,0
-4,336,5,215,0,0
-4,332,5,220,0,0
-4,328,5,225,0,0
-4,299,5,230,1,0
-4,295,5,235,1,0
-4,291,5,240,1,0
-4,287,5,245,1,0
-4,283,5,250,0,0
-4,279,5,255,0,0
-4,275,5,260,0,0
-4,271,5,265,0,0
-4,267,5,270,0,0
-4,263,5,275,0,0
-4,259,5,280,0,0
-4,255,5,285,0,0
-4,251,5,290,0,0
-4,247,5,295,0,0
-4,243,5,300,0,0
-4,239,5,305,0,0
-4,235,5,310,0,0
-4,231,5,315,0,0
-4,227,5,320,0,0
-4,223,5,325,0,0
-4,219,5,330,0,0
-4,215,5,335,0,0
-4,211,5,340,0,0
-4,207,5,345,0,0
-4,203,5,350,0,0
-4,199,5,355,0,0
-4,195,5,360,0,0
-4,191,5,365,0,0
-4,187,5,370,0,0
-4,183,5,375,0,0
-4,204,5,380,0,0
-4,200,5,385,0,0
-4,196,5,390,0,0
-4,192,5,395,0,0
-4,188,5,400,0,0
-4,184,5,0,0,0
-4,180,5,5,0,0
-4,176,5,10,0,0
-4,172,5,15,0,0
-4,168,5,20,0,0
-4,164,5,25,0,0
-4,160,5,30,0,0
-4,156,5,35,0,0
-4,152,5,40,0,0
-4,148,5,45,0,0
-4,144,5,50,0,0
-4,140,5,55,0,0
-4,136,5,60,0,0
-4,132,5,65,0,0
-4,128,5,70,0,0
-4,124,5,75,0,0
-4,120,5,80,0,0
-4,116,5,85,0,0
-4,87,5,90,1,0
-4,83,5,95,1,0
-4,79,5,100,1,0
-4,75,5,105,0,0
-4,71,5,110,0,0
-4,67,5,115,0,0
-4,63,5,120,0,0
-4,59,5,125,0,0
-4,55,5,130,0,0
-4,51,5,135,0,1
-4,47,5,140,0,1
-4,43,5,145,0,1
-4,39,5,150,0,1
-4,35,5,155,0,1
-4,31,5,160,0,1
-4,27,5,165,0,1
-4,23,5,170,0,1
-4,19,5,175,0,1
-4,15,5,180,0,1
-4,11,5,185,0,1
-4,7,5,190,0,1
-4,3,5,195,0,1
-4,-1,5,200,0,1
-4,-5,5,205,0,1
-4,-9,5,210,0,1
-4,-13,5,215,1,1
-4,-17,5,220,1,1
-4,-21,5,225,1,1
-4,-25,5,230,0,1
-4,-29,5,235,0,1
-4,-8,5,240,1,1
